Dataset,Fold 1,Fold 2,Fold 3,Fold 4,Fold 5
PLAID,0.7932960893854749,0.7392923649906891,0.7672253258845437,0.7783985102420856,0.7337057728119181
PhalangesOutlinesCorrect,0.7062937062937062,0.7074592074592074,0.710955710955711,0.7051282051282052,0.7226107226107226
Phoneme,0.2178270042194093,0.22943037974683544,0.2120253164556962,0.21624472573839662,0.21308016877637131
PickupGestureWiimoteZ,0.68,0.66,0.62,0.68,0.7
PigAirwayPressure,0.2932692307692308,0.3269230769230769,0.32211538461538464,0.32211538461538464,0.2980769230769231
PigArtPressure,0.9471153846153846,0.9615384615384616,0.9711538461538461,0.9663461538461539,0.9663461538461539
PigCVP,0.8317307692307693,0.8605769230769231,0.8557692307692307,0.8317307692307693,0.875
Plane,0.9809523809523809,0.9904761904761905,0.9904761904761905,1.0,0.9904761904761905
PowerCons,0.9055555555555556,0.8833333333333333,0.9111111111111111,0.9111111111111111,0.9055555555555556
ProximalPhalanxOutlineAgeGroup,0.7804878048780488,0.7463414634146341,0.7317073170731707,0.751219512195122,0.7902439024390244
ProximalPhalanxOutlineCorrect,0.7766323024054983,0.8109965635738832,0.7800687285223368,0.8109965635738832,0.7972508591065293
ProximalPhalanxTW,0.6292682926829268,0.6878048780487804,0.6439024390243903,0.6731707317073171,0.6634146341463415
RefrigerationDevices,0.49333333333333335,0.472,0.47733333333333333,0.472,0.464
Rock,0.6,0.6,0.58,0.62,0.6
ScreenType,0.45866666666666667,0.4746666666666667,0.456,0.488,0.504
SemgHandGenderCh2,0.8233333333333334,0.845,0.815,0.8333333333333334,0.8233333333333334
SemgHandMovementCh2,0.5911111111111111,0.5933333333333334,0.6111111111111112,0.6066666666666667,0.6044444444444445
SemgHandSubjectCh2,0.68,0.72,0.6622222222222223,0.6844444444444444,0.6733333333333333
ShakeGestureWiimoteZ,0.9,0.9,0.92,0.94,0.9
ShapeletSim,0.7944444444444444,0.8222222222222222,0.8611111111111112,0.8555555555555555,0.8222222222222222
ShapesAll,0.8466666666666667,0.8333333333333334,0.8283333333333334,0.8483333333333334,0.8266666666666667
SmallKitchenAppliances,0.728,0.72,0.6773333333333333,0.7173333333333334,0.72
SmoothSubspace,0.9333333333333333,0.92,0.9,0.9133333333333333,0.9133333333333333
SonyAIBORobotSurface1,0.6688851913477537,0.6555740432612313,0.6871880199667221,0.6572379367720466,0.6572379367720466
SonyAIBORobotSurface2,0.8079748163693599,0.8331584470094439,0.8541448058761805,0.8247639034627492,0.8247639034627492
StarLightCurves,0.9686741136474016,0.9680670228266148,0.9689169499757163,0.9691597863040311,0.968431277319087
Strawberry,0.9567567567567568,0.9702702702702702,0.9621621621621622,0.9648648648648649,0.9675675675675676
SwedishLeaf,0.9008,0.896,0.9056,0.8992,0.8992
Symbols,0.9346733668341709,0.9316582914572864,0.928643216080402,0.9608040201005025,0.935678391959799
SyntheticControl,0.95,0.9633333333333334,0.9533333333333334,0.9533333333333334,0.9466666666666667
ToeSegmentation1,0.8903508771929824,0.8771929824561403,0.9078947368421053,0.9122807017543859,0.9298245614035088
ToeSegmentation2,0.9153846153846154,0.9153846153846154,0.8846153846153846,0.9153846153846154,0.8769230769230769
Trace,1.0,1.0,1.0,1.0,1.0
TwoLeadECG,0.8823529411764706,0.9007901668129938,0.9043020193151887,0.9016681299385426,0.8981562774363476
TwoPatterns,0.86525,0.8745,0.90525,0.89325,0.87075
UMD,0.9722222222222222,0.9791666666666666,0.9722222222222222,0.9791666666666666,0.9652777777777778
UWaveGestureLibraryAll,0.7540480178671134,0.7459519821328866,0.7613065326633166,0.7613065326633166,0.7621440536013401
UWaveGestureLibraryX,0.7314349525404802,0.7470686767169179,0.7520938023450586,0.7467895030709101,0.7453936348408711
UWaveGestureLibraryY,0.6602456728084869,0.6742043551088778,0.6613623673925182,0.6836962590731435,0.6697375767727527
UWaveGestureLibraryZ,0.6993299832495813,0.7007258514796203,0.6993299832495813,0.7077051926298158,0.695142378559464
Wafer,0.9926995457495134,0.9925373134328358,0.9917261518494485,0.9926995457495134,0.9920506164828033
Wine,0.5925925925925926,0.6481481481481481,0.6666666666666666,0.5740740740740741,0.5555555555555556
WordSynonyms,0.6175548589341693,0.6065830721003135,0.6050156739811913,0.5940438871473355,0.6018808777429467
Worms,0.8051948051948052,0.7792207792207793,0.7792207792207793,0.7662337662337663,0.7792207792207793
WormsTwoClass,0.8051948051948052,0.8311688311688312,0.8181818181818182,0.7922077922077922,0.8311688311688312
Yoga,0.796,0.8096666666666666,0.8,0.772,0.7926666666666666
