Dataset,Fold 1,Fold 2,Fold 3,Fold 4,Fold 5
GestureMidAirD3,0.16153846153846155,0.16923076923076924,0.17692307692307693,0.19230769230769232,0.18461538461538463
GesturePebbleZ1,0.7093023255813954,0.7034883720930233,0.6569767441860465,0.6918604651162791,0.6976744186046512
GesturePebbleZ2,0.5569620253164557,0.6139240506329114,0.569620253164557,0.5886075949367089,0.5759493670886076
GunPoint,0.8466666666666667,0.86,0.8533333333333334,0.8133333333333334,0.8733333333333333
GunPointAgeSpan,0.9588607594936709,0.9430379746835443,0.9525316455696202,0.9493670886075949,0.9462025316455697
GunPointMaleVersusFemale,0.9936708860759493,0.9683544303797469,0.9746835443037974,0.9936708860759493,0.9936708860759493
GunPointOldVersusYoung,1.0,1.0,1.0,1.0,1.0
Ham,0.5238095238095238,0.5238095238095238,0.4666666666666667,0.5428571428571428,0.5523809523809524
HandOutlines,0.7027027027027027,0.7054054054054054,0.7189189189189189,0.6513513513513514,0.7162162162162162
Haptics,0.35714285714285715,0.275974025974026,0.33766233766233766,0.2824675324675325,0.3116883116883117
Herring,0.484375,0.546875,0.46875,0.578125,0.484375
HouseTwenty,0.8235294117647058,0.9327731092436975,0.8319327731092437,0.8571428571428571,0.9243697478991597
InlineSkate,0.2872727272727273,0.2927272727272727,0.28909090909090907,0.29818181818181816,0.28909090909090907
InsectEPGRegularTrain,1.0,1.0,1.0,1.0,1.0
InsectEPGSmallTrain,1.0,1.0,1.0,1.0,1.0
InsectWingbeatSound,0.3202020202020202,0.3939393939393939,0.3611111111111111,0.3242424242424242,0.33181818181818185
ItalyPowerDemand,0.8872691933916423,0.9329446064139941,0.9397473275024295,0.902818270165209,0.9067055393586005
LargeKitchenAppliances,0.728,0.776,0.6853333333333333,0.7226666666666667,0.7386666666666667
Lightning2,0.7704918032786885,0.7704918032786885,0.7213114754098361,0.7540983606557377,0.7704918032786885
Lightning7,0.5068493150684932,0.547945205479452,0.5616438356164384,0.547945205479452,0.5616438356164384
Mallat,0.8490405117270788,0.7769722814498934,0.8874200426439233,0.8942430703624733,0.8652452025586354
Meat,0.9166666666666666,0.85,0.8833333333333333,0.8666666666666667,0.8333333333333334
MedicalImages,0.6328947368421053,0.6092105263157894,0.6039473684210527,0.6078947368421053,0.6368421052631579
MelbournePedestrian,0.8171381713817139,0.8618286182861828,0.8724887248872488,0.8482984829848298,0.8564985649856498
MiddlePhalanxOutlineAgeGroup,0.45454545454545453,0.525974025974026,0.512987012987013,0.487012987012987,0.45454545454545453
MiddlePhalanxOutlineCorrect,0.718213058419244,0.738831615120275,0.7353951890034365,0.711340206185567,0.7594501718213058
MiddlePhalanxTW,0.4935064935064935,0.4155844155844156,0.45454545454545453,0.45454545454545453,0.44805194805194803
MixedShapesRegularTrain,0.5991752577319588,0.5901030927835051,0.589278350515464,0.6325773195876289,0.6111340206185567
MixedShapesSmallTrain,0.5274226804123712,0.5517525773195876,0.5352577319587629,0.5257731958762887,0.5402061855670103
MoteStrain,0.8458466453674122,0.8857827476038339,0.8362619808306709,0.8083067092651757,0.8554313099041534
NonInvasiveFetalECGThorax1,0.5226463104325699,0.5414758269720101,0.6173027989821883,0.5882951653944021,0.566412213740458
NonInvasiveFetalECGThorax2,0.6544529262086514,0.7379134860050891,0.7139949109414758,0.5603053435114503,0.7409669211195928
OSULeaf,0.7107438016528925,0.6115702479338843,0.6528925619834711,0.6694214876033058,0.6528925619834711
OliveOil,0.8,0.7,0.5666666666666667,0.7333333333333333,0.7666666666666667
PLAID,0.5754189944134078,0.5884543761638734,0.5847299813780261,0.5363128491620112,0.5363128491620112
PhalangesOutlinesCorrect,0.7144522144522144,0.6934731934731935,0.6946386946386947,0.7319347319347319,0.6946386946386947
Phoneme,0.19040084388185655,0.19567510548523206,0.19145569620253164,0.18037974683544303,0.18670886075949367
PickupGestureWiimoteZ,0.54,0.56,0.54,0.54,0.56
PigAirwayPressure,0.3317307692307692,0.3701923076923077,0.3317307692307692,0.3317307692307692,0.2932692307692308
PigArtPressure,0.7211538461538461,0.7115384615384616,0.7451923076923077,0.7115384615384616,0.7019230769230769
PigCVP,0.4182692307692308,0.4567307692307692,0.46634615384615385,0.4182692307692308,0.44711538461538464
Plane,0.9523809523809523,1.0,0.9619047619047619,0.9619047619047619,0.9619047619047619
PowerCons,0.9388888888888889,0.9,0.9611111111111111,0.9333333333333333,0.95
ProximalPhalanxOutlineAgeGroup,0.8,0.751219512195122,0.7804878048780488,0.7902439024390244,0.7560975609756098
ProximalPhalanxOutlineCorrect,0.7491408934707904,0.7422680412371134,0.7628865979381443,0.718213058419244,0.7628865979381443
ProximalPhalanxTW,0.6926829268292682,0.7219512195121951,0.7121951219512195,0.6926829268292682,0.6829268292682927
RefrigerationDevices,0.5093333333333333,0.48,0.49866666666666665,0.45866666666666667,0.5013333333333333
Rock,0.4,0.4,0.42,0.42,0.44
ScreenType,0.3973333333333333,0.424,0.4,0.4106666666666667,0.42133333333333334
SemgHandGenderCh2,0.81,0.7783333333333333,0.7783333333333333,0.815,0.7866666666666666
SemgHandMovementCh2,0.5733333333333334,0.5733333333333334,0.5911111111111111,0.5822222222222222,0.5733333333333334
SemgHandSubjectCh2,0.6777777777777778,0.6844444444444444,0.7044444444444444,0.6622222222222223,0.66
ShakeGestureWiimoteZ,0.88,0.82,0.8,0.82,0.86
ShapeletSim,0.7722222222222223,0.8666666666666667,0.7555555555555555,0.7388888888888889,0.8166666666666667
ShapesAll,0.6033333333333334,0.68,0.6483333333333333,0.645,0.6183333333333333
SmallKitchenAppliances,0.664,0.6746666666666666,0.688,0.68,0.664
SmoothSubspace,0.88,0.8533333333333334,0.82,0.8866666666666667,0.9
SonyAIBORobotSurface1,0.831946755407654,0.8136439267886856,0.7587354409317804,0.7870216306156406,0.762063227953411
SonyAIBORobotSurface2,0.7922350472193075,0.8394543546694648,0.838405036726128,0.8730325288562435,0.7838405036726128
StarLightCurves,0.8638902379796017,0.8536911121903836,0.850412821758135,0.8630403108305003,0.8637688198154444
Strawberry,0.8621621621621621,0.8702702702702703,0.8648648648648649,0.8486486486486486,0.8594594594594595
SwedishLeaf,0.8592,0.84,0.856,0.8704,0.8496
Symbols,0.8201005025125628,0.8241206030150754,0.8542713567839196,0.7949748743718593,0.8462311557788945
SyntheticControl,0.9766666666666667,0.9766666666666667,0.99,0.9866666666666667,0.99
ToeSegmentation1,0.7719298245614035,0.8026315789473685,0.7719298245614035,0.8114035087719298,0.8596491228070176
ToeSegmentation2,0.8307692307692308,0.8538461538461538,0.8384615384615385,0.8538461538461538,0.8692307692307693
Trace,0.88,0.9,0.92,0.9,0.86
TwoLeadECG,0.6988586479367866,0.7339771729587358,0.7374890254609306,0.7673397717295873,0.7901668129938543
TwoPatterns,0.96575,0.9615,0.9615,0.9685,0.974
UMD,0.8819444444444444,0.8472222222222222,0.9097222222222222,0.7986111111111112,0.8472222222222222
UWaveGestureLibraryAll,0.4396984924623116,0.4871580122836404,0.4385817978782803,0.4944165270798437,0.4600781686208822
UWaveGestureLibraryX,0.568676716917923,0.5672808486878839,0.5041876046901173,0.4812953657174763,0.5946398659966499
UWaveGestureLibraryY,0.47571189279731996,0.5142378559463987,0.4637074260189838,0.5005583472920156,0.45979899497487436
UWaveGestureLibraryZ,0.49022892238972643,0.5491345616973757,0.5120044667783361,0.541038525963149,0.562534896705751
Wafer,0.9823166774821545,0.9790720311486047,0.982154445165477,0.9831278390655419,0.9790720311486047
Wine,0.6851851851851852,0.6481481481481481,0.5925925925925926,0.6666666666666666,0.5925925925925926
WordSynonyms,0.39655172413793105,0.4043887147335423,0.3871473354231975,0.3996865203761755,0.3871473354231975
Worms,0.6233766233766234,0.5844155844155844,0.6233766233766234,0.6233766233766234,0.5584415584415584
WormsTwoClass,0.6623376623376623,0.6233766233766234,0.6493506493506493,0.6363636363636364,0.6363636363636364
Yoga,0.729,0.7726666666666666,0.757,0.7573333333333333,0.746
